method,num_ESS,epsilon,theta,N_WDR,seed,status,obj_value,solve_time,wall_time,satisfied_rate,peak_rss_gib,peak_hwm_gib,peak_vmsize_gib,min_mem_available_gib,memory_samples,network,num_gen,timestamp
CVAR,6,0.05,0.1,250,20000,OK,2210987.7515255986,579.922093629837,581.7773764133453,0.983,24.139198303222656,32.4708251953125,34.91038513183594,472.7574348449707,22,case118,38,2026-06-20 04:08:12
CVAR,6,0.05,0.1,250,30000,OK,2059127.004766209,549.2107398509979,551.0785462856293,0.9856,24.12203598022461,32.4708251953125,34.91276168823242,472.7342300415039,21,case118,38,2026-06-20 04:17:25
CVAR,6,0.05,0.1,250,40000,OK,2052649.1413674941,549.874819278717,551.7458159923553,0.9996,23.421653747558594,32.4708251953125,34.9033088684082,473.4277038574219,21,case118,38,2026-06-20 04:26:38
CVAR,6,0.05,0.1,300,10000,OK,2157212.130226634,759.0447628498077,760.9425761699677,0.9822,29.874305725097656,32.4708251953125,42.581878662109375,466.9605712890625,28,case118,38,2026-06-20 04:39:20
CVAR,6,0.05,0.1,300,20000,OK,2210990.025379504,728.2338931560516,730.1183891296387,0.9872,30.997730255126953,32.4708251953125,42.59628677368164,465.810848236084,27,case118,38,2026-06-20 04:51:32
CVAR,6,0.05,0.1,300,30000,OK,2059127.0046652607,720.0683944225311,721.9155607223511,0.9866,31.264041900634766,32.4708251953125,42.609073638916016,465.5785255432129,27,case118,38,2026-06-20 05:03:36
CVAR,6,0.05,0.1,300,40000,OK,2052649.1412856453,698.3397083282471,700.179744720459,0.9996,29.895626068115234,32.4708251953125,42.597190856933594,466.9560317993164,26,case118,38,2026-06-20 05:15:17
CVAR,6,0.08,0.12,50,10000,OK,2152859.1982276393,123.86839199066162,125.71720552444458,0.9274,6.063148498535156,32.4708251953125,16.16403579711914,490.8759117126465,7,case118,38,2026-06-20 05:17:24
CVAR,6,0.08,0.12,50,20000,OK,2206924.953710942,127.03821301460266,128.89804482460022,0.9326,6.118076324462891,32.4708251953125,16.166290283203125,490.83758544921875,7,case118,38,2026-06-20 05:19:33
CVAR,6,0.08,0.12,50,30000,OK,2055272.3945313967,123.62525177001953,125.49371314048767,0.9698,6.090919494628906,32.4708251953125,16.1553955078125,490.79349517822266,7,case118,38,2026-06-20 05:21:39
CVAR,6,0.08,0.12,50,40000,OK,2049530.609759242,121.81182909011841,123.61810302734375,0.9942,6.090938568115234,32.4708251953125,16.1553955078125,490.81795501708984,7,case118,38,2026-06-20 05:23:43
CVAR,6,0.08,0.12,80,10000,OK,2152863.705625987,159.68775296211243,161.54671478271484,0.9736,5.357368469238281,32.4708251953125,17.831104278564453,491.59267807006836,8,case118,38,2026-06-20 05:26:25
CVAR,6,0.08,0.12,80,20000,OK,2206928.6642923886,166.24194407463074,168.09097743034363,0.969,5.517601013183594,32.4708251953125,17.909713745117188,491.4246253967285,8,case118,38,2026-06-20 05:29:14
CVAR,6,0.08,0.12,80,30000,OK,2055272.3946533808,161.04864525794983,162.8699505329132,0.983,5.357395172119141,32.4708251953125,17.836162567138672,491.59119033813477,8,case118,38,2026-06-20 05:31:57
CVAR,6,0.08,0.12,80,40000,OK,2049530.6097046405,159.05896925926208,160.9385380744934,0.999,5.324775695800781,32.4708251953125,17.823707580566406,491.64001083374023,8,case118,38,2026-06-20 05:34:38
CVAR,6,0.08,0.12,100,10000,OK,2152863.70572841,194.8934416770935,196.73369693756104,0.9744,6.172157287597656,32.4708251953125,19.911094665527344,490.7716827392578,9,case118,38,2026-06-20 05:37:56
CVAR,6,0.08,0.12,100,20000,OK,2206929.723697311,194.62203741073608,196.48614311218262,0.9676,6.1485137939453125,32.4708251953125,19.841014862060547,490.8297119140625,9,case118,38,2026-06-20 05:41:13
CVAR,6,0.08,0.12,100,30000,OK,2055272.3945684312,191.8316934108734,193.69273853302002,0.987,6.143039703369141,32.4708251953125,19.85907745361328,490.8455009460449,9,case118,38,2026-06-20 05:44:27
CVAR,6,0.08,0.12,100,40000,OK,2049530.609709168,189.47299146652222,191.47023057937622,0.9996,6.1262359619140625,32.4708251953125,19.83794403076172,490.84300231933594,9,case118,38,2026-06-20 05:47:39
CVAR,6,0.08,0.12,150,10000,OK,2152863.789223051,298.7726287841797,300.6355791091919,0.9746,14.967090606689453,32.4708251953125,25.447330474853516,481.98128509521484,13,case118,38,2026-06-20 05:52:40
