method,epsilon,theta,n_wdr,seed,num_WT,num_Solar,obj,solve_time,total_duration,satisfied_rate
EIFICA,0.05,0.1,150,20000,10,5,641014.0082051669,105.87423872947693,106.77701163291931,0.8044
FICA,0.05,0.1,150,10000,10,5,627014.1819437095,925.0484719276428,925.85693192482,0.8554
FICA,0.05,0.1,150,20000,10,5,641035.5094776977,816.448792219162,817.2734336853027,0.9114
EIFICA,0.05,0.1,150,30000,10,5,596630.254584495,401.57330226898193,402.42308807373047,0.8572
FICA,0.05,0.1,150,30000,10,5,596661.7543709432,729.5006220340729,730.2975082397461,0.893
EIFICA,0.05,0.1,150,40000,10,5,591657.0929834157,140.60855889320374,141.45121788978577,0.8342
FICA,0.05,0.1,150,40000,10,5,591662.4033449665,651.9525365829468,654.6137223243713,0.9096
EIFICA,0.05,0.1,200,0,10,5,720385.5594888893,451.68388867378235,452.51560139656067,0.9124
EIFICA,0.05,0.1,200,10000,10,5,627236.2587848055,672.1977367401123,673.025719165802,0.8615999999999999
FICA,0.05,0.1,200,10000,10,5,627252.8049856338,1376.4811494350433,1377.2804152965546,0.8956000000000001
FICA,0.05,0.1,200,0,10,5,720390.0447279053,1824.186888217926,1824.9779255390167,0.9236
EIFICA,0.05,0.1,200,20000,10,5,641056.3978657234,855.6207835674286,856.4183311462402,0.8978
FICA,0.05,0.1,200,20000,10,5,641083.1368548861,1463.0120582580566,1463.8481795787811,0.9284
EIFICA,0.05,0.1,200,30000,10,5,596803.9898308982,392.7768523693085,393.64045548439026,0.9082000000000001
FICA,0.05,0.1,200,30000,10,5,596837.5901876702,1297.1801719665527,1297.963229417801,0.9297999999999998
EIFICA,0.05,0.1,200,40000,10,5,591718.7484344948,269.8533318042755,270.6769139766693,0.8881999999999999
FICA,0.05,0.1,200,40000,10,5,591723.6618246082,1272.349660873413,1273.173066854477,0.9254000000000001
EIFICA,0.05,0.1,250,0,10,5,720402.1366177823,965.529098033905,966.3451752662659,0.9236
EIFICA,0.05,0.1,250,10000,10,5,627290.9880478634,565.8845498561859,566.6877603530884,0.9098
FICA,0.05,0.1,250,0,10,5,720406.7337071656,2670.6083121299744,2671.3859634399414,0.9296
FICA,0.05,0.1,250,10000,10,5,627307.756701362,2413.4264731407166,2414.262664079666,0.9284
EIFICA,0.05,0.1,250,20000,10,5,641093.6410841563,708.8831174373627,709.6645970344543,0.9132000000000001
EIFICA,0.05,0.1,250,30000,10,5,596827.5339719867,938.1849210262299,938.9582033157349,0.9179999999999999
FICA,0.05,0.1,250,20000,10,5,641119.6163895854,3584.012788772583,3584.9971334934235,0.9386
FICA,0.05,0.1,250,30000,10,5,596860.14211508,2474.895434617996,2475.7276318073273,0.9416
EIFICA,0.05,0.1,250,40000,10,5,591814.3278575408,1024.3291409015656,1025.1636352539062,0.9201999999999999
FICA,0.05,0.1,250,40000,10,5,591821.0001252006,2158.1518502235413,2158.933489561081,0.9418
EIFICA,0.05,0.1,300,0,10,5,720469.4006994095,687.033233165741,687.8545396327972,0.9426000000000001
