method,epsilon,theta,n_wdr,seed,num_WT,num_Solar,obj,solve_time,total_duration,satisfied_rate
EIFICA,0.03,0.06,250,30000,10,5,596822.737270326,236.38610577583313,237.19706106185913,0.8936
FICA,0.03,0.06,250,20000,10,5,641119.6163906179,2183.740225791931,2184.7119524478912,0.9386
EIFICA,0.03,0.06,250,40000,10,5,591812.4719593293,255.0870804786682,255.9257287979126,0.9162
FICA,0.03,0.06,250,30000,10,5,596860.1420702356,1750.988020658493,1751.8057861328125,0.9416
FICA,0.03,0.06,250,40000,10,5,591821.0000836186,1656.6201949119568,1657.4112076759338,0.9418
EIFICA,0.03,0.06,300,0,10,5,720467.4716747659,533.7490706443787,534.5594036579132,0.9262
EIFICA,0.03,0.06,300,10000,10,5,627363.7263660097,980.0785708427429,980.885418176651,0.8912
FICA,0.03,0.06,300,0,10,5,720473.6616165085,3032.9328093528748,3033.7829916477203,0.9458
FICA,0.03,0.06,300,10000,10,5,627391.4201967313,2621.1645019054413,2621.973477125168,0.9386
EIFICA,0.03,0.06,300,20000,10,5,641110.491063129,553.0759468078613,553.9063448905945,0.9016
EIFICA,0.03,0.06,300,30000,10,5,596828.4168836629,1478.0131044387817,1478.8258075714111,0.8978
FICA,0.03,0.06,300,20000,10,5,641135.4630811469,3151.9403347969055,3152.748383998871,0.9442
EIFICA,0.03,0.06,300,40000,10,5,591874.9888644349,707.5902626514435,708.371066570282,0.9266
FICA,0.03,0.06,300,30000,10,5,596865.560393408,3478.6301770210266,3479.4188158512115,0.9454
FICA,0.03,0.06,300,40000,10,5,591881.6115819183,3540.8323397636414,3541.679666042328,0.951
