method,num_ESS,epsilon,theta,N_WDR,seed,status,obj_value,solve_time,wall_time,satisfied_rate,peak_rss_gib,peak_hwm_gib,peak_vmsize_gib,min_mem_available_gib,memory_samples,network,num_gen,timestamp
EIFICA,6,0.03,0.06,250,0,OK,2487153.9809053075,152.83042907714844,154.66725325584412,0.992,8.649089813232422,32.525672912597656,32.39178466796875,488.9026184082031,8,case118,38,2026-06-19 10:36:13
EIFICA,6,0.03,0.06,300,0,OK,2487153.9808960967,169.08927536010742,170.9390892982483,0.9968,22.62304306030273,32.525672912597656,36.45035171508789,474.9166641235352,8,case118,38,2026-06-19 10:39:05
EIFICA,6,0.05,0.1,50,0,OK,2487150.864008652,102.62174487113953,104.45268416404724,0.345,3.9222640991210938,32.525672912597656,15.048503875732422,493.65555572509766,6,case118,38,2026-06-19 10:40:50
EIFICA,6,0.05,0.1,80,0,OK,2487153.9809081587,105.10101318359376,106.94487309455872,0.9842,3.238788604736328,32.525672912597656,12.648399353027344,494.3524856567383,6,case118,38,2026-06-19 10:42:38
EIFICA,6,0.05,0.1,100,0,OK,2487153.9809686183,111.40102577209473,113.23858880996704,0.9842,3.79464340209961,32.525672912597656,13.548118591308594,493.7859230041504,6,case118,38,2026-06-19 10:44:31
EIFICA,6,0.05,0.1,150,0,OK,2487153.98089877,126.54783177375792,128.37156891822815,0.9782,5.197696685791016,32.525672912597656,15.2813720703125,492.3941459655762,7,case118,38,2026-06-19 10:46:40
EIFICA,6,0.05,0.1,200,0,OK,2487153.9809218524,144.7125370502472,146.53485941886902,0.9982,11.53009033203125,32.525672912597656,27.546375274658203,486.0519981384277,7,case118,38,2026-06-19 10:49:07
EIFICA,6,0.05,0.1,250,0,OK,2487153.9809048907,157.0014202594757,158.8157618045807,0.998,8.2095947265625,32.525672912597656,32.43050765991211,489.37703704833984,8,case118,38,2026-06-19 10:51:47
EIFICA,6,0.05,0.1,300,0,OK,2487153.980900141,174.8314974308014,176.68670558929443,0.9982,18.78427124023437,32.525672912597656,36.323638916015625,478.7799072265625,8,case118,38,2026-06-19 10:54:44
EIFICA,6,0.08,0.12,50,0,OK,2483607.6689025555,96.4655704498291,98.29675269126892,0.4744,3.898880004882813,32.525672912597656,15.032665252685549,493.7049064636231,6,case118,38,2026-06-19 10:56:23
EIFICA,6,0.08,0.12,80,0,OK,2483609.545489102,106.55990242958067,108.38345289230348,0.9826,3.204044342041016,32.525672912597656,12.626628875732422,494.3865165710449,6,case118,38,2026-06-19 10:58:12
EIFICA,6,0.08,0.12,100,0,OK,2483609.5455233767,113.54313635826112,115.3541135787964,0.9854,3.739925384521485,32.525672912597656,13.51706314086914,493.8752632141113,6,case118,38,2026-06-19 11:00:08
EIFICA,6,0.08,0.12,150,0,OK,2483609.5454879887,128.96620750427246,130.77299785614014,0.9962,5.134960174560547,32.525672912597656,15.220829010009766,492.4674415588379,7,case118,38,2026-06-19 11:02:19
EIFICA,6,0.08,0.12,200,0,OK,2483609.545568139,145.91017055511475,147.7159514427185,0.9974,11.549869537353516,32.525672912597656,27.57626724243164,486.04365158081055,7,case118,38,2026-06-19 11:04:47
EIFICA,6,0.08,0.12,250,0,OK,2483609.545535949,162.99583435058594,164.81364583969116,0.998,7.847774505615234,32.525672912597656,26.55913543701172,489.7469596862793,8,case118,38,2026-06-19 11:07:33
EIFICA,6,0.08,0.12,300,0,OK,2483609.545482736,179.89147663116455,181.71412897109985,0.998,23.954761505126957,32.525672912597656,36.27047348022461,473.6060371398926,9,case118,38,2026-06-19 11:10:35
EIFICA,6,0.1,0.15,50,0,OK,2483607.6689638505,98.01483654975893,99.83170914649963,0.4912,3.865131378173828,32.525672912597656,15.010238647460938,493.7401657104492,6,case118,38,2026-06-19 11:12:16
EIFICA,6,0.1,0.15,80,0,OK,2483609.5454932074,108.33743476867676,110.15271711349487,0.982,3.1982879638671875,32.525672912597656,12.62662124633789,494.4068908691406,6,case118,38,2026-06-19 11:14:07
EIFICA,6,0.1,0.15,100,0,OK,2483609.545513541,116.09364628791808,117.9281873703003,0.9868,3.7337646484375,32.525672912597656,13.537223815917969,493.8883972167969,6,case118,38,2026-06-19 11:16:05
EIFICA,6,0.1,0.15,150,0,OK,2483609.545501993,133.49843192100525,135.41486406326294,0.9948,5.138553619384766,32.525672912597656,15.22834014892578,492.4762954711914,7,case118,38,2026-06-19 11:18:21
EIFICA,6,0.1,0.15,200,0,OK,2483609.5454937057,151.95673036575317,153.85876059532166,0.9972,11.493736267089844,32.525672912597656,27.538982391357425,486.0817108154297,8,case118,38,2026-06-19 11:20:55
EIFICA,6,0.1,0.15,250,0,OK,2483609.54549497,168.59132313728333,170.5725588798523,0.997,7.820087432861328,32.525672912597656,18.18346405029297,489.7745361328125,8,case118,38,2026-06-19 11:23:47
EIFICA,6,0.1,0.15,300,0,OK,2483609.545491447,185.53307676315308,187.3652467727661,0.9978,22.00134658813477,32.525672912597656,36.22371673583984,475.5598106384277,9,case118,38,2026-06-19 11:26:55
FICA,6,0.03,0.06,50,0,OK,2487153.9808957707,98.99097084999084,100.84007048606873,0.9406,5.772251129150391,32.525672912597656,15.107585906982422,491.8244094848633,6,case118,38,2026-06-19 11:28:37
FICA,6,0.03,0.06,80,0,OK,2487153.9808980823,117.04763746261597,119.02575993537904,0.9844,3.320499420166016,32.525672912597656,12.682598114013672,494.29174041748047,6,case118,38,2026-06-19 11:30:36
FICA,6,0.03,0.06,100,0,OK,2487153.9809002355,123.8961398601532,125.7304871082306,0.9894,3.87075424194336,32.525672912597656,13.586963653564451,493.7367630004883,7,case118,38,2026-06-19 11:32:43
FICA,6,0.03,0.06,150,0,OK,2487153.98099103,145.56765246391296,147.42976355552673,0.9942,5.272720336914063,32.525672912597656,15.295440673828123,492.3115539550781,7,case118,38,2026-06-19 11:35:10
FICA,6,0.03,0.06,200,0,OK,2487153.9811425414,797.031920671463,799.4646604061127,0.9978,231.93170547485352,231.93202590942383,439.0461730957031,265.17534255981445,29,case118,38,2026-06-19 11:56:30
FICA,6,0.03,0.06,250,0,OK,2487153.981381168,1123.8301286697388,1126.2734515666962,0.9982,291.62618255615234,291.62618255615234,550.7829971313477,205.31743240356445,40,case118,38,2026-06-19 13:46:24
FICA,6,0.03,0.06,300,0,OK,2487153.98117645,1253.469256401062,1255.3551151752472,0.9982,356.33058166503906,356.33058166503906,670.1040954589844,140.47874450683594,44,case118,38,2026-06-19 14:07:20
FICA,6,0.05,0.1,50,0,OK,2487153.9809224405,103.87814140319824,105.73987865447998,0.9466,2.37274169921875,356.33058166503906,11.846664428710938,495.0882759094238,6,case118,38,2026-06-19 14:09:07
FICA,6,0.05,0.1,80,0,OK,2487153.9808957106,117.70185589790344,119.56174421310425,0.9878,3.2235450744628906,356.33058166503906,12.728946685791016,494.239688873291,6,case118,38,2026-06-19 14:11:07
FICA,6,0.05,0.1,100,0,OK,2487153.9810194825,126.2752902507782,128.12567853927612,0.9904,3.797504425048828,356.33058166503906,13.64358139038086,493.68799209594727,7,case118,38,2026-06-19 14:13:15
FICA,6,0.05,0.1,150,0,OK,2487153.980967245,147.88128304481506,149.71137690544128,0.9968,14.075531005859375,356.33058166503906,24.30615234375,483.39293670654297,7,case118,38,2026-06-19 14:15:45
FICA,6,0.05,0.1,200,0,OK,2487153.981165978,756.9416306018829,758.7670812606812,0.9982,243.33636856079102,356.33058166503906,460.21501541137695,253.77096557617188,28,case118,38,2026-06-19 14:28:25
FICA,6,0.05,0.1,250,0,OK,2487153.981262651,1008.8636360168457,1010.6887392997742,0.9982,301.3447151184082,356.33058166503906,577.8119850158691,195.5806121826172,36,case118,38,2026-06-19 14:45:16
FICA,6,0.05,0.1,300,0,OK,2487153.9810995297,1351.843254327774,1353.6684954166412,0.9982,373.83813095092773,373.83813095092773,702.7409858703613,122.99060821533203,48,case118,38,2026-06-19 15:07:51
FICA,6,0.08,0.12,50,0,OK,2483609.5455196854,103.68171286582947,105.49680972099304,0.9434,3.572601318359375,373.83813095092773,15.115032196044922,493.92751693725586,6,case118,38,2026-06-19 15:09:38
FICA,6,0.08,0.12,80,0,OK,2483609.5455361274,116.20981812477112,118.01904964447021,0.989,3.2834930419921875,373.83813095092773,12.747600555419922,494.2328338623047,6,case118,38,2026-06-19 15:11:36
FICA,6,0.08,0.12,100,0,OK,2483609.545497957,125.60843420028687,127.50653505325317,0.9906,3.8548049926757812,373.83813095092773,13.656578063964844,493.6743469238281,7,case118,38,2026-06-19 15:13:44
