method,num_ESS,epsilon,theta,N_WDR,seed,status,obj_value,solve_time,wall_time,satisfied_rate,network,num_gen,timestamp
EIFICA,6,0.05,0.1,50,30000,OK,2059125.4992989772,99.48843741416931,101.3518419265747,0.392,case118,38,2026-04-22 21:35:31
EIFICA,6,0.05,0.1,50,40000,OK,2052649.1114939556,103.32448840141296,105.2226083278656,0.714,case118,38,2026-04-22 21:36:03
EIFICA,6,0.05,0.1,80,0,OK,2487153.9809081745,104.15023732185364,106.01387786865234,0.9842,case118,38,2026-04-22 21:36:50
EIFICA,6,0.05,0.1,80,10000,OK,2157205.0991637935,106.43133664131165,108.82545447349548,0.944,case118,38,2026-04-22 21:37:03
EIFICA,6,0.05,0.1,80,20000,OK,2210984.590528673,104.6531012058258,106.49211764335632,0.9498,case118,38,2026-04-22 21:37:18
EIFICA,6,0.05,0.1,80,30000,OK,2059127.0044843205,105.63995146751404,107.52213549613953,0.9834,case118,38,2026-04-22 21:37:51
EIFICA,6,0.05,0.1,80,40000,OK,2052649.1412097015,103.50936555862427,105.3393907546997,0.9972,case118,38,2026-04-22 21:38:36
EIFICA,6,0.05,0.1,100,0,OK,2487153.9809686462,112.31024360656738,114.15666699409485,0.9842,case118,38,2026-04-22 21:38:58
EIFICA,6,0.05,0.1,100,10000,OK,2157205.0991638084,110.80694508552551,112.76412272453308,0.9484,case118,38,2026-04-22 21:39:11
EIFICA,6,0.05,0.1,100,20000,OK,2210986.090911171,111.41952443122864,113.29974913597107,0.9456,case118,38,2026-04-22 21:39:44
EIFICA,6,0.05,0.1,100,30000,OK,2059127.0044939695,109.62429118156433,111.42708897590637,0.9892,case118,38,2026-04-22 21:40:28
EIFICA,6,0.05,0.1,100,40000,OK,2052649.1412095272,113.3165123462677,115.19895458221436,0.9988,case118,38,2026-04-22 21:40:54
EIFICA,6,0.05,0.1,150,0,OK,2487153.9809061717,125.60664772987366,127.4363911151886,0.9782,case118,38,2026-04-22 21:41:18
EIFICA,6,0.05,0.1,150,10000,OK,2157207.8643464427,127.31627297401428,129.32200169563293,0.973,case118,38,2026-04-22 21:41:54
EIFICA,6,0.05,0.1,150,20000,OK,2210986.968077266,124.32747268676758,126.13452458381653,0.9562,case118,38,2026-04-22 21:42:34
EIFICA,6,0.05,0.1,150,30000,OK,2059127.004487764,127.70051264762878,129.53937315940857,0.9888,case118,38,2026-04-22 21:43:04
EIFICA,6,0.05,0.1,150,40000,OK,2052649.1412238323,125.76146149635315,127.5835828781128,0.9998,case118,38,2026-04-22 21:43:27
EIFICA,6,0.05,0.1,200,0,OK,2487153.980915101,145.83641695976257,147.68029880523682,0.9982,case118,38,2026-04-22 21:44:22
EIFICA,6,0.05,0.1,200,10000,OK,2157207.8643685845,143.03249144554138,144.83927750587463,0.9752,case118,38,2026-04-22 21:45:00
EIFICA,6,0.05,0.1,200,20000,OK,2210986.968020766,145.56208729743958,147.42664408683777,0.9564,case118,38,2026-04-22 21:45:32
EIFICA,6,0.05,0.1,200,30000,OK,2059127.00460142,143.63153767585754,145.59496903419495,0.9888,case118,38,2026-04-22 21:45:53
EIFICA,6,0.05,0.1,200,40000,OK,2052649.141289436,144.19954419136047,146.61534214019775,0.9996,case118,38,2026-04-22 21:46:52
EIFICA,6,0.05,0.1,250,0,OK,2487153.9808985093,156.2010018825531,158.03888058662415,0.998,case118,38,2026-04-22 21:47:38
EIFICA,6,0.05,0.1,250,10000,OK,2157210.5715441606,159.90498304367065,161.86444735527039,0.9782,case118,38,2026-04-22 21:48:14
EIFICA,6,0.05,0.1,250,20000,OK,2210986.9680234394,156.37852716445923,158.21531748771667,0.9564,case118,38,2026-04-22 21:48:32
EIFICA,6,0.05,0.1,250,30000,OK,2059127.0045492952,157.48853039741516,159.34021735191345,0.9882,case118,38,2026-04-22 21:49:32
EIFICA,6,0.05,0.1,250,40000,OK,2052649.1412116447,156.58591032028198,158.42153596878052,0.9998,case118,38,2026-04-22 21:50:18
EIFICA,6,0.05,0.1,300,0,OK,2487153.9808978434,176.40055441856384,178.29374527931213,0.9982,case118,38,2026-04-22 21:51:13
EIFICA,6,0.05,0.1,300,10000,OK,2157210.683745171,174.09171748161316,175.936457157135,0.9782,case118,38,2026-04-22 21:51:28
EIFICA,6,0.05,0.1,300,20000,OK,2210989.3567793216,174.44035959243774,176.3040738105774,0.9624,case118,38,2026-04-22 21:52:29
EIFICA,6,0.08,0.12,50,0,OK,2483607.6689025518,97.15136671066284,99.00000524520874,0.4744,case118,38,2026-04-22 21:53:08
EIFICA,6,0.05,0.1,300,30000,OK,2059127.0045369132,172.04052639007568,173.84549856185913,0.9888,case118,38,2026-04-22 21:53:12
EIFICA,6,0.08,0.12,50,10000,OK,2152859.1982219433,96.60413765907288,98.43874144554138,0.908,case118,38,2026-04-22 21:54:09
EIFICA,6,0.05,0.1,300,40000,OK,2052649.1413546717,176.11010098457336,177.9794225692749,0.9998,case118,38,2026-04-22 21:54:12
EIFICA,6,0.08,0.12,50,20000,OK,2206924.3964408003,96.87334036827087,98.73257756233215,0.5128,case118,38,2026-04-22 21:54:47
EIFICA,6,0.08,0.12,50,30000,OK,2055272.3945299247,95.86113500595093,97.68282794952393,0.9472,case118,38,2026-04-22 21:54:51
EIFICA,6,0.08,0.12,50,40000,OK,2049530.609702172,96.85095691680908,98.67947602272034,0.9892,case118,38,2026-04-22 21:55:48
EIFICA,6,0.08,0.12,80,0,OK,2483609.545489227,108.53453350067139,110.38519620895386,0.9826,case118,38,2026-04-22 21:56:04
EIFICA,6,0.08,0.12,80,10000,OK,2152861.9135779063,106.28341960906982,108.13498497009277,0.9574,case118,38,2026-04-22 21:56:36
EIFICA,6,0.08,0.12,80,20000,OK,2206928.394179255,105.84558629989624,107.64901280403137,0.932,case118,38,2026-04-22 21:56:39
EIFICA,6,0.08,0.12,80,30000,OK,2055272.394529663,106.8913643360138,108.71927404403687,0.982,case118,38,2026-04-22 21:57:37
EIFICA,6,0.08,0.12,80,40000,OK,2049530.6097025848,107.94333577156067,109.81449007987976,0.9974,case118,38,2026-04-22 21:57:54
EIFICA,6,0.08,0.12,100,0,OK,2483609.5455236346,114.54139232635498,116.4097146987915,0.9854,case118,38,2026-04-22 21:58:33
EIFICA,6,0.08,0.12,100,10000,OK,2152861.913577441,112.98599362373352,114.7844409942627,0.9618,case118,38,2026-04-22 21:58:34
EIFICA,6,0.08,0.12,100,20000,OK,2206929.450412611,113.64571166038513,115.46648788452148,0.93,case118,38,2026-04-22 21:59:33
EIFICA,6,0.08,0.12,100,30000,OK,2055272.3945300397,115.6447548866272,117.65185260772705,0.9882,case118,38,2026-04-22 21:59:52
EIFICA,6,0.08,0.12,100,40000,OK,2049530.6097066184,113.90572500228882,115.76867270469666,0.9984,case118,38,2026-04-22 22:00:29
EIFICA,6,0.08,0.12,150,0,OK,2483609.545487766,128.13987278938293,130.49939036369324,0.9962,case118,38,2026-04-22 22:00:47
EIFICA,6,0.08,0.12,150,10000,OK,2152863.2932045716,130.09055590629578,131.90545296669006,0.9718,case118,38,2026-04-22 22:01:45
EIFICA,6,0.08,0.12,150,20000,OK,2206931.180469856,132.9637269973755,134.84233903884888,0.9802,case118,38,2026-04-22 22:02:07
EIFICA,6,0.08,0.12,150,30000,OK,2055272.3945298968,130.50587940216064,132.36087203025818,0.9882,case118,38,2026-04-22 22:02:42
EIFICA,6,0.08,0.12,150,40000,OK,2049530.6097179267,127.57346224784851,129.4029495716095,0.9998,case118,38,2026-04-22 22:02:57
EIFICA,6,0.08,0.12,200,0,OK,2483609.545568187,146.46046662330627,148.28655862808228,0.9974,case118,38,2026-04-22 22:04:14
EIFICA,6,0.08,0.12,200,10000,OK,2152863.789225089,149.31802415847778,151.32489275932312,0.9746,case118,38,2026-04-22 22:04:39
EIFICA,6,0.08,0.12,200,20000,OK,2206931.1805294845,148.13066291809082,149.99744725227356,0.9802,case118,38,2026-04-22 22:05:12
EIFICA,6,0.08,0.12,200,30000,OK,2055272.394741604,145.94520163536072,147.76756072044373,0.9876,case118,38,2026-04-22 22:05:25
EIFICA,6,0.08,0.12,200,40000,OK,2049530.609703484,147.02277898788452,148.84655237197876,0.9998,case118,38,2026-04-22 22:06:43
EIFICA,6,0.08,0.12,250,0,OK,2483609.5455359602,164.76315808296204,166.5873556137085,0.998,case118,38,2026-04-22 22:07:27
EIFICA,6,0.08,0.12,250,10000,OK,2152866.835691481,166.31230401992798,168.16673469543457,0.98,case118,38,2026-04-22 22:08:01
EIFICA,6,0.08,0.12,250,20000,OK,2206931.180698507,162.15957856178284,163.97901153564453,0.9802,case118,38,2026-04-22 22:08:10
EIFICA,6,0.08,0.12,250,30000,OK,2055272.394532302,164.9262571334839,166.74552369117737,0.9868,case118,38,2026-04-22 22:09:31
EIFICA,6,0.08,0.12,250,40000,OK,2049530.6097024658,165.8021900653839,167.65915822982788,0.9998,case118,38,2026-04-22 22:10:15
EIFICA,6,0.08,0.12,300,0,OK,2483609.5454827435,183.29315757751465,185.1633677482605,0.998,case118,38,2026-04-22 22:11:07
EIFICA,6,0.08,0.12,300,10000,OK,2152866.961785442,178.94469594955444,180.74339365959167,0.98,case118,38,2026-04-22 22:11:12
EIFICA,6,0.08,0.12,300,20000,OK,2206933.428119429,181.6200032234192,183.44620060920715,0.9852,case118,38,2026-04-22 22:12:35
EIFICA,6,0.1,0.15,50,0,OK,2483607.668963855,96.60090327262878,98.53565239906311,0.4912,case118,38,2026-04-22 22:12:51
EIFICA,6,0.08,0.12,300,30000,OK,2055272.3945303024,185.07842183113098,186.94920134544373,0.9872,case118,38,2026-04-22 22:13:23
EIFICA,6,0.08,0.12,300,40000,OK,2049530.6097025,183.36697435379028,185.24710702896118,0.9998,case118,38,2026-04-22 22:14:14
EIFICA,6,0.1,0.15,50,10000,OK,2152859.198222439,97.62480401992798,99.4421157836914,0.9134,case118,38,2026-04-22 22:14:16
EIFICA,6,0.1,0.15,50,20000,OK,2206924.4088778733,96.31367206573486,98.12848472595215,0.545,case118,38,2026-04-22 22:14:29
EIFICA,6,0.1,0.15,50,30000,OK,2055272.394530139,99.723637342453,101.5731053352356,0.953,case118,38,2026-04-22 22:15:06
EIFICA,6,0.1,0.15,50,40000,OK,2049530.6097145176,97.59879183769226,99.48517370223999,0.9932,case118,38,2026-04-22 22:15:54
EIFICA,6,0.1,0.15,80,0,OK,2483609.5455000484,108.52729654312134,110.48233270645142,0.982,case118,38,2026-04-22 22:16:06
EIFICA,6,0.1,0.15,80,10000,OK,2152863.705599105,106.95004844665527,108.76071834564209,0.9698,case118,38,2026-04-22 22:16:18
EIFICA,6,0.1,0.15,80,20000,OK,2206928.450502222,110.32393527030945,112.17646932601929,0.9412,case118,38,2026-04-22 22:16:58
EIFICA,6,0.1,0.15,80,30000,OK,2055272.3945301627,108.7905695438385,110.6855092048645,0.9852,case118,38,2026-04-22 22:17:45
EIFICA,6,0.1,0.15,80,40000,OK,2049530.6097235878,108.54296326637268,110.3646011352539,0.9986,case118,38,2026-04-22 22:17:57
EIFICA,6,0.1,0.15,100,0,OK,2483609.545489659,114.60953164100647,116.42431616783142,0.9864,case118,38,2026-04-22 22:18:15
EIFICA,6,0.1,0.15,100,10000,OK,2152863.705525715,119.25667762756348,121.09166193008423,0.973,case118,38,2026-04-22 22:19:00
EIFICA,6,0.1,0.15,100,20000,OK,2206929.5067254365,116.42249917984009,118.30864000320435,0.9398,case118,38,2026-04-22 22:19:44
EIFICA,6,0.1,0.15,100,30000,OK,2055272.3945300067,115.61600089073181,117.43548107147217,0.9878,case118,38,2026-04-22 22:19:55
EIFICA,6,0.1,0.15,100,40000,OK,2049530.609704493,114.81907677650452,116.63497233390808,0.9992,case118,38,2026-04-22 22:20:12
EIFICA,6,0.1,0.15,150,0,OK,2483609.5455020634,134.11536192893982,135.96784687042236,0.9948,case118,38,2026-04-22 22:21:16
EIFICA,6,0.1,0.15,150,10000,OK,2152863.7892514644,132.7411458492279,134.61069631576538,0.974,case118,38,2026-04-22 22:21:59
EIFICA,6,0.1,0.15,150,20000,OK,2206931.1803307007,131.8896622657776,133.82546067237854,0.9802,case118,38,2026-04-22 22:22:09
EIFICA,6,0.1,0.15,150,30000,OK,2055272.3947485783,129.9945149421692,131.7973997592926,0.9876,case118,38,2026-04-22 22:22:24
EIFICA,6,0.1,0.15,150,40000,OK,2049530.6097029536,134.5548119544983,136.54635381698608,0.9998,case118,38,2026-04-22 22:23:33
EIFICA,6,0.1,0.15,200,0,OK,2483609.545488264,150.21145057678223,152.07613921165466,0.9972,case118,38,2026-04-22 22:24:31
EIFICA,6,0.1,0.15,200,10000,OK,2152863.789240733,150.27554416656494,152.12056469917297,0.9746,case118,38,2026-04-22 22:24:42
EIFICA,6,0.1,0.15,200,20000,OK,2206931.1803379236,148.07637763023376,149.87980675697327,0.9802,case118,38,2026-04-22 22:24:55
EIFICA,6,0.1,0.15,200,30000,OK,2055272.394544812,153.41865849494934,155.26197409629822,0.9868,case118,38,2026-04-22 22:26:09
EIFICA,6,0.1,0.15,200,40000,OK,2049530.609749961,152.52057790756226,154.94912576675415,0.9998,case118,38,2026-04-22 22:27:09
EIFICA,6,0.1,0.15,250,0,OK,2483609.5454949224,168.93060541152954,170.808420419693,0.997,case118,38,2026-04-22 22:27:33
EIFICA,6,0.1,0.15,250,10000,OK,2152866.8367018276,166.20609545707703,168.00971245765686,0.9798,case118,38,2026-04-22 22:27:44
EIFICA,6,0.1,0.15,250,20000,OK,2206931.3732281714,171.6187379360199,173.5944366455078,0.9806,case118,38,2026-04-22 22:29:03
EIFICA,6,0.1,0.15,250,30000,OK,2055272.3945306917,170.2545783519745,172.13306760787964,0.9862,case118,38,2026-04-22 22:30:02
EIFICA,6,0.1,0.15,250,40000,OK,2049530.6098002573,168.89451670646667,170.7764675617218,0.9998,case118,38,2026-04-22 22:30:25
EIFICA,6,0.1,0.15,300,0,OK,2483609.5454913927,183.74167895317078,185.5475616455078,0.9978,case118,38,2026-04-22 22:30:50
EIFICA,6,0.1,0.15,300,10000,OK,2152866.9618030624,190.13041996955872,191.9901213645935,0.9798,case118,38,2026-04-22 22:32:16
EIFICA,6,0.1,0.15,300,20000,OK,2206933.5706403507,190.3822944164276,192.25086402893066,0.9854,case118,38,2026-04-22 22:33:16
EIFICA,6,0.1,0.15,300,30000,OK,2055272.3947443883,191.78051471710205,194.2047142982483,0.9872,case118,38,2026-04-22 22:33:42
EIFICA,6,0.1,0.15,300,40000,OK,2049530.609948537,189.7721405029297,192.1853380203247,0.9998,case118,38,2026-04-22 22:34:05
FICA,6,0.03,0.06,50,10000,OK,2157202.399323505,100.74882912635803,103.1967921257019,0.8936,case118,38,2026-04-22 22:41:45
FICA,6,0.03,0.06,50,0,OK,2487153.980895771,101.21986603736877,103.7047131061554,0.9406,case118,38,2026-04-22 22:41:46
FICA,6,0.03,0.06,50,20000,OK,2210980.767606311,98.86414861679077,100.72626233100891,0.9368,case118,38,2026-04-22 22:43:27
FICA,6,0.03,0.06,50,30000,OK,2059127.0044801012,100.04119348526001,101.92893862724304,0.9608,case118,38,2026-04-22 22:43:28
FICA,6,0.03,0.06,50,40000,OK,2052649.1412075397,99.02895832061768,100.88296866416931,0.9938,case118,38,2026-04-22 22:45:08
FICA,6,0.03,0.06,80,0,OK,2487153.9808980823,117.52108526229858,119.3902039527893,0.9844,case118,38,2026-04-22 22:45:28
FICA,6,0.03,0.06,80,10000,OK,2157208.905457582,116.83633756637573,119.38306331634521,0.968,case118,38,2026-04-22 22:48:25
FICA,6,0.03,0.06,80,20000,OK,2210984.7899087993,119.19466042518616,121.69039869308472,0.9752,case118,38,2026-04-22 22:48:28
FICA,6,0.03,0.06,80,30000,OK,2059127.0044799638,117.82845497131348,119.74796152114868,0.9834,case118,38,2026-04-22 22:50:26
FICA,6,0.03,0.06,80,40000,OK,2052649.1412944752,118.81084108352661,120.70506763458252,0.9982,case118,38,2026-04-22 22:50:29
FICA,6,0.03,0.06,100,0,OK,2487153.9808987183,125.4182677268982,127.31898617744446,0.9894,case118,38,2026-04-22 22:52:33
FICA,6,0.03,0.06,100,10000,OK,2157208.90543358,127.78142952919006,129.68176317214966,0.9752,case118,38,2026-04-22 22:52:39
FICA,6,0.03,0.06,100,20000,OK,2210986.2945185564,126.03897905349731,127.92555522918701,0.9748,case118,38,2026-04-22 22:54:42
FICA,6,0.03,0.06,100,30000,OK,2059127.0045082825,128.2728612422943,130.12964510917664,0.9892,case118,38,2026-04-22 22:54:49
FICA,6,0.03,0.06,100,40000,OK,2052649.1412067697,125.87838673591614,127.74217057228088,0.999,case118,38,2026-04-22 22:56:50
FICA,6,0.03,0.06,150,0,OK,2487153.9809910296,148.84938192367554,150.6894657611847,0.9942,case118,38,2026-04-22 22:57:21
FICA,6,0.03,0.06,150,10000,OK,2157209.1845363504,147.3598439693451,149.22574543952942,0.9786,case118,38,2026-04-22 22:59:20
FICA,6,0.03,0.06,150,20000,OK,2210987.605185014,149.77792739868164,151.61611938476562,0.9824,case118,38,2026-04-22 22:59:53
FICA,6,0.03,0.06,150,30000,OK,2059127.0044825408,148.1940953731537,150.06613326072693,0.9884,case118,38,2026-04-22 23:01:50
FICA,6,0.03,0.06,150,40000,OK,2052649.141275236,150.57977652549744,152.43515300750732,0.9994,case118,38,2026-04-22 23:02:26
FICA,6,0.03,0.06,200,0,OK,2487153.981225088,796.0052282810211,797.8654148578644,0.9978,case118,38,2026-04-22 23:15:09
FICA,6,0.03,0.06,200,10000,OK,2157209.1845697607,802.3969051837921,804.2637403011322,0.9802,case118,38,2026-04-22 23:15:51
FICA,6,0.03,0.06,200,20000,OK,2210987.6058708727,779.8106791973114,781.683783531189,0.9828,case118,38,2026-04-22 23:28:11
FICA,6,0.03,0.06,200,30000,OK,2059127.0046445634,791.0950405597687,792.9761617183685,0.9884,case118,38,2026-04-22 23:29:05
FICA,6,0.03,0.06,200,40000,OK,2052649.1412581946,774.1082859039307,775.993378162384,0.9996,case118,38,2026-04-22 23:41:08
FICA,6,0.03,0.06,250,0,OK,2487153.981392469,1076.3013026714325,1078.155484676361,0.9982,case118,38,2026-04-22 23:47:04
FICA,6,0.03,0.06,250,10000,OK,2157212.0009558992,1101.0112044811249,1102.8746979236603,0.9824,case118,38,2026-04-22 23:59:32
FICA,6,0.03,0.06,250,20000,OK,2210987.753111637,1095.5116829872131,1097.9337222576141,0.983,case118,38,2026-04-23 00:05:25
FICA,6,0.03,0.06,250,30000,OK,2059127.0045038876,862.945901632309,864.9314486980438,0.9884,case118,38,2026-04-23 00:13:58
FICA,6,0.03,0.06,250,40000,OK,2052649.1413411433,1006.4389979839325,1008.2993638515472,0.9996,case118,38,2026-04-23 00:22:14
FICA,6,0.03,0.06,300,0,OK,2487153.9811449796,1288.3046295642853,1290.7364902496338,0.9982,case118,38,2026-04-23 00:35:32
FICA,6,0.03,0.06,300,10000,OK,2157212.129963006,1240.1432328224182,1242.0053374767303,0.9824,case118,38,2026-04-23 00:42:57
FICA,6,0.03,0.06,300,20000,OK,2210990.02488355,1248.4654114246368,1250.3876481056213,0.9872,case118,38,2026-04-23 00:56:24
