seed,obj_no,satisfied_rate_no,solve_time_no,status_no
0,717717.5400058078,0.9078,437.26733326911926,2
10000,623945.2960887223,0.8584,1271.3184247016907,2
20000,638018.7640605747,0.9066,434.02718353271484,2
30000,593766.9798138412,0.8822,479.18530082702637,2
40000,589385.7501139172,0.8784,446.92619466781616,2
