sweep_dim,value,is_default,seed,obj_no,obj_with,cost_reduction_pct,satisfied_rate_with,ess_agc_share,status_with
power_ratio,0.05,False,0,717717.5400058078,714626.3287961013,0.4307002459047444,0.9224,0.5514858433244051,2
power_ratio,0.05,False,10000,623945.2960887223,619847.3385559174,0.6567815413456075,0.9406,0.7774894356969632,2
power_ratio,0.05,False,20000,638018.7640605747,634651.7554172347,0.5277287805629961,0.9362,0.6104381178982403,2
power_ratio,0.05,False,30000,593766.9798138412,590516.0063307178,0.5475167184511678,0.9268,0.6921793391364347,2
power_ratio,0.05,False,40000,589385.7501139172,586901.3960437394,0.4215158017813611,0.936,0.5160565729847986,2
power_ratio,0.1,True,0,717717.5400058078,712117.0848280443,0.7803146594018252,0.9278,0.5887397633294892,2
power_ratio,0.1,True,10000,623945.2960887223,617140.0845078243,1.0906743946235888,0.9526,0.8481136175167221,2
power_ratio,0.1,True,20000,638018.7640605747,632036.9764996927,0.9375566829432818,0.9508,0.6735584658473244,2
power_ratio,0.1,True,30000,593766.9798138412,588217.471842306,0.9346272460747305,0.929,0.7139752095620692,2
power_ratio,0.1,True,40000,589385.7501139172,584987.2209233212,0.7462903861767625,0.9364,0.5550713909955477,2
power_ratio,0.15,False,0,717717.5400058078,709642.110382719,1.125154280474106,0.9344,0.6708535150041672,2
power_ratio,0.15,False,10000,623945.2960887223,614683.411189112,1.4844065589835467,0.9858,0.8847305060330405,2
power_ratio,0.15,False,20000,638018.7640605747,629547.3500967285,1.3277687806438672,0.9724,0.7530306392010346,2
power_ratio,0.15,False,30000,593766.9798138412,586053.6061588001,1.299057360424355,0.9436,0.784368728062287,2
power_ratio,0.15,False,40000,589385.7501139172,583111.3964442428,1.0645580875448133,0.9366,0.5546226338867603,2
power_ratio,0.2,False,0,717717.5400058078,707208.1860716827,1.4642743625911667,0.9552,0.7672861076670993,2
power_ratio,0.2,False,10000,623945.2960887223,612365.0081235808,1.8559780861774142,0.9418,0.7079138118213171,2
power_ratio,0.2,False,20000,638018.7640605747,627116.6332490593,1.708747677283095,0.988,0.864060777074027,2
power_ratio,0.2,False,30000,593766.9798138412,583959.3672277782,1.6517611991724233,0.9524,0.7460951657283081,2
power_ratio,0.2,False,40000,589385.7501139172,581242.7347514577,1.3816104920903798,0.9366,0.5594028611261483,2
