method,sf,epsilon,theta,n_wdr,seed,obj,solve_time,total_duration,satisfied_rate,status
EIFICA,1.0,0.03,0.06,80,900,53770.81880999869,5.2214648723602295,6.946636199951172,0.9534,2
ExactLHS,1.0,0.03,0.06,80,400,58920.056614552246,298.2210352420807,299.3911271095276,0.6858,2
EIFICA,1.0,0.03,0.06,100,0,66592.45928311635,5.482680320739746,6.5913026332855225,0.9774,2
ExactLHS,1.0,0.03,0.06,80,800,56089.858201989126,223.40107226371765,224.64683508872986,0.6776,2
EIFICA,1.0,0.03,0.06,100,100,53875.935218783525,5.275738000869751,6.413525581359863,0.9732,2
ExactLHS,1.0,0.03,0.06,80,700,65471.5792334371,257.76020336151123,258.9131500720978,0.6808,2
EIFICA,1.0,0.03,0.06,100,200,62000.5965451929,5.485483884811401,7.21034836769104,0.9812,2
ExactLHS,1.0,0.03,0.06,80,900,53833.83195356439,239.68246746063232,240.85979533195496,0.6114,2
EIFICA,1.0,0.03,0.06,100,300,57687.074502303236,5.5582239627838135,7.2882091999053955,0.9674,2
ExactLHS,1.0,0.03,0.06,100,100,54034.4630790674,142.15233993530273,143.28259539604187,0.6826,2
EIFICA,1.0,0.03,0.06,100,400,58897.94592320396,5.647835731506348,7.403192520141602,0.9344,2
ExactLHS,1.0,0.03,0.06,100,200,62039.254469600855,149.5464632511139,150.7036430835724,0.7402,2
EIFICA,1.0,0.03,0.06,100,500,58595.86702465099,5.5057830810546875,7.2423436641693115,0.952,2
ExactLHS,1.0,0.03,0.06,100,0,66618.69865936195,296.77669072151184,297.890095949173,0.7462,2
EIFICA,1.0,0.03,0.06,100,600,53840.78082872845,5.49169921875,7.175469160079956,0.9588,2
ExactLHS,1.0,0.03,0.06,100,300,57774.09020350465,179.7508487701416,180.9302704334259,0.7408,2
EIFICA,1.0,0.03,0.06,100,700,65471.57923353686,5.720137357711792,7.507331848144531,0.9992,2
