N,m0,m0_frac,is_default,n,solve_time_mean,solve_time_std,speedup_vs_full_mean,speedup_vs_full_std,objective_mean,objective_std,obj_gap_pct_mean,obj_gap_pct_std,satisfied_rate_mean,satisfied_rate_std,sat_gap_pp_mean,sat_gap_pp_std
50,3,0.06,True,5,95.462655210495,1.3774722851798822,1.0220623823361632,0.015214446880776977,2193415.5659610936,177308.02464008797,-0.0003280205023315097,0.0003581951039911974,0.27076,0.16708730651967552,-67.348,17.69568082894806
50,5,0.1,False,5,101.78575382232665,1.8629193181993378,0.9586775846190561,0.018576697944928385,2193421.8473414565,177305.7864529777,-3.440242179909599e-05,4.306359683064224e-05,0.6702,0.26498984886217813,-27.404000000000003,23.363087980829928
50,10,0.2,False,5,91.56398067474365,0.20599194296441892,1.0654015110428559,0.0024873033371731836,2193422.071081858,177305.73062840244,-2.4034523617368046e-05,4.418928791649303e-05,0.7738799999999999,0.2203936750453606,-17.035999999999998,21.160086956343065
50,20,0.4,False,5,93.6466733455658,0.08357205876750827,1.0417039167429634,0.001510739383540186,2193422.658701694,177306.78919910165,-9.768249623017336e-11,2.629903860385944e-10,0.93804,0.041420140028734745,-0.6200000000000006,0.42308391602612294
50,50,1.0,False,5,97.55208044052125,0.14576690270989917,1.0,0.0,2193422.6587036266,177306.78919601176,0.0,0.0,0.94424,0.03764422930543269,0.0,0.0
200,10,0.05,False,5,138.46039719581603,0.6864099822585554,6.107355046571645,0.25810502370118144,2193424.476410965,177305.61394366474,-3.878783582362786e-05,4.3426755962837875e-05,0.88548,0.20615574694875718,-10.416,20.996273002606916
200,12,0.06,True,5,139.32823576927186,0.31419644225116733,6.06934617375831,0.25903992228611883,2193424.9827119056,177306.66250330093,-1.843155583207755e-05,2.7398335026381198e-05,0.9803200000000001,0.020788746955985607,-0.9319999999999995,1.5168124472063134
200,20,0.1,False,5,141.90653595924377,0.5940801773460298,5.9592988980059,0.2605244886146242,2193424.9918218437,177306.66362900502,-1.8019522461283456e-05,2.7177215279149305e-05,0.9833999999999999,0.01789972066821157,-0.6239999999999979,1.1505129290885872
200,40,0.2,False,5,146.0069136619568,1.4451731476787366,5.791206732937665,0.22295926818086134,2193425.3833323275,177306.6119634352,-1.4217998719781187e-08,1.2426799176958197e-08,0.9896,0.008739565206576325,-0.0039999999999995595,0.02190890230020423
200,80,0.4,False,5,152.0423572063446,0.6290829827951823,5.561544883648256,0.22846393628592013,2193425.383297132,177306.61198382487,-1.5886525737523465e-08,1.736916878525107e-08,0.9897199999999999,0.00876082187925315,0.00800000000000134,0.03033150177620762
200,200,1.0,False,5,845.595758485794,35.06947303876929,1.0,0.0,2193425.383649789,177306.61207607045,0.0,0.0,0.98964,0.008570180861568792,0.0,0.0
